model,name,n,asr,avg_words,avg_len,avg_temporal,avg_accident_affirmed,avg_accident_negated,avg_event,avg_benign,per100w_temporal,per100w_accident,per100w_event,has_temporal_frac,has_accident_frac,has_event_frac,has_benign_frac
InternVL3,G4_temporal_64_internvl,174,nan,28.5230,138.1667,0.0230,1.8276,0.1667,0.2989,0.0057,0.0689,7.6631,0.8603,0.0230,0.9195,0.2644,0.0057
InternVL3,S13_no_temporal_64_internvl,174,nan,31.9540,161.5000,0.1207,1.6149,0.3563,0.2356,0.0575,0.3943,5.3906,0.7478,0.1207,0.8161,0.2184,0.0575
InternVL3,S5_no_temporal_64_internvl,174,nan,35.9828,182.2701,0.0575,1.8161,0.2011,0.6897,0.0057,0.1845,5.3224,1.9756,0.0575,0.8678,0.5575,0.0057
InternVL3,clean_internvl,174,nan,14.0920,74.4195,0.0057,0.1437,1.8391,0.0115,0.1264,0.0213,0.6016,0.0303,0.0057,0.0805,0.0115,0.1264
LLaVA-OV,G4_temporal_64_llava,172,nan,18.6860,104.2558,0.0000,2.1047,0.1395,0.0465,0.0291,0.0000,10.9238,0.2261,0.0000,0.8605,0.0407,0.0291
LLaVA-OV,S13_no_temporal_64_llava,172,nan,20.9942,115.1860,0.0000,2.0581,0.1512,0.0465,0.0523,0.0000,8.5002,0.2618,0.0000,0.7558,0.0465,0.0523
LLaVA-OV,S5_no_temporal_64_llava,172,nan,18.5174,99.7733,0.0000,1.3837,0.3081,0.2558,0.0698,0.0000,6.8857,1.3360,0.0000,0.7093,0.2500,0.0698
LLaVA-OV,clean_llava,172,nan,9.2791,48.4884,0.0000,0.0116,1.6047,0.0000,0.0058,0.0000,0.0668,0.0000,0.0000,0.0116,0.0000,0.0058
Qwen3-VL,G4_temporal_64_qwen3,174,nan,63.5747,364.2931,0.0172,3.6782,0.8678,0.3736,0.5287,0.0420,6.8386,0.5049,0.0172,0.7759,0.2586,0.2874
Qwen3-VL,S13_no_temporal_64_qwen3,174,nan,61.6092,356.3736,0.0115,0.9828,2.1437,0.3218,0.8218,0.0213,1.5131,0.4135,0.0115,0.3506,0.2356,0.4713
Qwen3-VL,S5_no_temporal_64_qwen3,174,nan,70.7356,401.5690,0.0230,1.5690,1.4770,0.6034,0.5977,0.0235,2.6401,0.9904,0.0230,0.5690,0.4943,0.3678
Qwen3-VL,clean_qwen3,174,nan,53.2356,315.8276,0.0057,0.1782,2.3678,0.0690,1.4540,0.0076,0.2103,0.0651,0.0057,0.0977,0.0632,0.7931
VideoLLaMA3,G4_temporal_64_videollama3,173,nan,31.3179,163.1676,0.0116,1.8208,0.6358,0.0983,0.1561,0.0401,5.5165,0.3156,0.0116,0.6705,0.0809,0.1098
VideoLLaMA3,S13_no_temporal_64_videollama3,173,nan,30.0983,158.5260,0.0173,1.3121,1.0173,0.1214,0.2197,0.0390,3.8444,0.3052,0.0173,0.5434,0.1098,0.1329
VideoLLaMA3,S5_no_temporal_64_videollama3,173,nan,31.6185,165.3295,0.0000,1.5145,0.7514,0.3295,0.1387,0.0000,4.7535,0.9875,0.0000,0.6590,0.2890,0.1040
VideoLLaMA3,clean_videollama3,173,nan,22.3584,122.3179,0.0000,0.1156,1.9017,0.0000,0.7341,0.0000,0.4394,0.0000,0.0000,0.0694,0.0000,0.4220
